sku,name,price
466545270,"Духи женские MADEMOISELLE, набор пробников 7 шт. по 2 мл",383
547901003,Подарочный набор для женщин BOHEMIA NIGHT DREAMS + зеркало,2165
23791005,Духи женские цветочные стойкие New York ONE 50 мл,462
12645292,"Духи женские стойкие фруктовые BOHEMIA MAGNIFICENCE, 50 мл",1607
397261468,"Духи женские нежные цветочные BOHEMIA LA LUNA, 50 мл",1889
543758732,"Парфюмированный гель для душа BOHEMIA IN BLACK, 200 мл",402
12645289,"Духи женские стойкие свежие BOHEMIA ICE QUEEN, 50 мл",1607
12645293,"Духи женские фруктовые BOHEMIA HEART OF ETERNITY, 50мл",1607
12190435,"Духи женские цитрусовые нежные Mademoiselle 2, 50 мл",789
12190438,"Духи женские цветочные сирень Mademoiselle 5, 50 мл",789
23791013,Духи женские цитрусовые свежие New York NINE 50 мл,451
397279139,"Духи женские цветочные стойкие BOHEMIA EMERALD, 50 мл",1889
547837924,Подарочный набор для женщин BOHEMIA EXCELSIOR + зеркало,2210
21013816,"Духи мужские стойкие свежие Gentleman 12, 100 мл",879
547887233,Подарочный набор для женщин BOHEMIA MIDNIGHT + зеркало,2210
12645295,"Женская парфюмерная вода сладкая La Mia Verona, 60мл",3113
21013823,"Духи женские свежие со шлейфом Mademoiselle 12, 50 мл",767
547847789,Подарочный набор для женщин BOHEMIA ICE QUEEN + зеркало,2210
12645297,"Женская парфюмерная вода цитрусовая La Mia Roma, 60мл",3180
547869551,Подарочный набор для женщин BOHEMIA MAGNIFICENCE + зеркало,2210
547857051,Подарочный набор для женщин BOHEMIA ILLUSION + зеркало,2210
547881667,Подарочный набор для женщин BOHEMIA IN BLACK + зеркало,2210
415555134,"Духи женские цветочные Galvanoliori LILAC FLEUR, 50 мл",485
545087218,"Парфюмированный гель для душа BOHEMIA NIGHT DREAMS, 200 мл",402
506059140,"Женская парфюмерная вода цитрусовая La Mia Roma, 10мл",676
100059556,Духи мужские свежие New York TWO 90 мл,462
21013815,"Духи мужские стойкие древесные Gentleman 14, 100 мл",879
12645294,"Женская парфюмерная вода свежая La Mia Venezia, 60мл",3180
38674959,"Духи женские стойкие цитрусовые BOHEMIA MOONSTONE, 50 мл",1607
547895815,Подарочный набор для женщин BOHEMIA MOONSTONE + зеркало,2210
23791006,Духи женские тропические со шлейфом New York TWO 50 мл,439
21013827,"Духи женские цветочные стойкие Mademoiselle 16, 50 мл",767
543804384,"Парфюмированный гель для душа BOHEMIA EXCELSIOR, 200 мл",503
490516010,"Парфюмерная вода для женщин SELECTIVE Wild cherry, 50 мл",3869
12645299,"Женская парфюмерная вода цветочная La Mia Firenze, 60мл",3045
490489082,"Парфюмерная вода для женщин SELECTIVE Romantic vetiver,50 мл",3869
490417030,"Парфюмерная вода для мужчин SELECTIVE Spicy Tobacco, 60мл",3869
490477519,"Парфюмерная вода для женщин SELECTIVE Mystic Red, 50 мл",3869
543810697,"Парфюмированный гель для душа BOHEMIA ILLUSION, 200 мл",478
490439332,"Парфюмерная вода для мужчин SELECTIVE Amber wood, 60мл",3869
543769273,"Парфюмированный гель для душа BOHEMIA ICE QUEEN, 200 мл",478
490410459,"Парфюмерная вода для мужчин SELECTIVE Smoky Leather, 60мл",3869
490503896,"Парфюмерная вода для женщин SELECTIVE White crystal, 50 мл",3869
490485179,"Парфюмерная вода для женщин SELECTIVE Pure Jasmin, 50 мл",3869
